id,movie,year,genre,duration,country,director,humor,rhythm,effort,tension,vote,avg_vote
928,High Hopes,1988,Drama,102,Great Britain,Mike Leigh,2,3,3,2,7,24
989,Billy Bud,1962,Drama,125,Great Britain,Peter Ustinov,0,3,3,3,7,9
992,La blonde de Pékin,1966,Spy,80,France,Nicolas Gessner,1,2,0,2,4,5
1024,Bob le flambeur,1955,Crime,100,France,Jean-Pierre Melville,1,3,1,3,7,43
1030,Firepower,1979,Adventure,103,Great Britain,Michael Winner,0,2,0,3,5,20
1056,The Bostonians,1984,Drama,129,Great Britain,James Ivory,0,2,2,1,6,19
1063,The Boy Friend,1971,Musical,110,Great Britain,Ken Russell,0,0,0,0,7,16
1064,Sanders of the River,1935,Adventure,98,Great Britain,Zoltan Korda,0,2,0,2,5,3
1086,Brief Encounter,1945,Mélo,86,Great Britain,David Lean,0,2,3,2,8,96
1089,Life of Brian,1979,Comedy,94,Great Britain,Terry Jones,4,3,2,1,7,184
1110,Peau de banane,1963,Comedy,105,France,Marcel Ophüls,1,2,0,1,5,10
1114,Buffet froid,1979,Comedy,95,France,Bertrand Blier,2,2,1,1,6,12
1160,Nightbreed,1990,Horror,93,Great Britain,Clive Barker,0,2,0,3,6,92
1211,Le gendarme se marie,1968,Comedy,89,France,Jean Girault,3,2,0,1,5,15
1217,A Room With a View,1985,Romantic,120,Great Britain,James Ivory,1,1,1,1,6,140
1218,Une chambre en ville,1982,Musical,92,France,Jacques Demy,1,2,0,3,6,3
1238,Voyou,1970,Thriller,123,France,Claude Lelouch,0,0,0,0,7,3
1240,Canaris,1954,History,115,Germany,Alfred Weidenmann,0,0,0,0,5,3
1268,Onkel Toms Hütte,1963,Drama,126,Germany,Géza von Radványi,0,2,3,1,5,8
1289,La chèvre,1981,Comedy,93,France,Francis Veber,2,2,0,1,6,45
1292,The Scapegoat,1959,Drama,92,Great Britain,Robert Hamer,2,3,2,2,6,18
1308,Caravaggio,1986,Drama,97,Great Britain,Derek Jarman,1,2,2,1,7,44
